Galaxy,m,rc,mu,B,chi2_pt,is_boundary,dAIC,rmin,ef,N
NGC6946,0.0012499999999999996,,0.31622776601683794,17993.562579382527,0.9911803822827907,True,35.936313353613,3.0,6.0,49
NGC7331,0.0012499999999999996,,0.251188643150958,38351.431025295264,4.046448777056745,True,126.69281862531281,3.0,6.0,35
NGC7793,0.0012499999999999996,,0.9120108393559099,3859.0494831838787,0.43162332046478524,True,0.5391770715290818,3.0,4.0,15
NGC7814,0.0012499999999999996,,0.3311311214825911,37702.386841261636,0.8752517015615703,True,6.84776119026715,3.0,3.0,15
PGC51017,0.0012499999999999996,,0.8317637711026711,0.0,0.3182608275317988,True,0.0,2.0,3.0,3
UGC00128,0.0012499999999999996,,0.660693448007596,13019.89273609314,4.252034846723765,True,85.25155949232919,2.0,6.0,21
UGC00191,0.0012499999999999996,,0.9120108393559099,4314.063798887335,1.161535041128652,True,3.2761592944440103,3.0,3.0,3
UGC00634,0.0012499999999999996,,0.8709635899560807,7178.934832903796,6.507423991294695,True,24.314871223846414,0.0,6.0,4
UGC00731,0.0012499999999999996,,1.0,3769.590408173722,1.0204229888454581,True,8.59836393966554,3.0,3.0,9
UGC00891,0.0012499999999999996,,1.0,2739.914471969761,1.3056791821309652,True,3.889207473045907,3.0,4.0,3
UGC01230,0.0012499999999999996,,1.0,7704.2463348333495,0.17525017222175687,True,0.8578803665106705,3.0,6.0,9
UGC01281,0.0012499999999999996,,1.0,2346.068397337791,0.08727612606142217,True,0.514750359784756,3.0,4.0,6
UGC02023,0.0012499999999999996,,1.0,817.6855533089719,0.7390827727202711,True,0.8952014868817706,2.0,6.0,3
UGC02259,0.0012499999999999996,,0.8709635899560807,5508.372665431504,1.261043767139235,True,5.595249517887474,3.0,3.0,6
UGC02455,0.0012499999999999996,,0.5495408738576246,0.0,2.676386893289592,True,0.0,3.0,6.0,3
UGC02487,0.0012499999999999996,,0.5248074602497727,95811.30038604513,2.013559002170539,True,13.30517219519848,0.0,6.0,17
UGC02885,0.0012499999999999996,,0.2630267991895382,67189.63711383817,3.559463075230194,True,61.37470757307803,2.0,6.0,18
UGC02916,0.0012499999999999996,,0.251188643150958,30493.563271723397,2.342860825827246,True,58.69512425106623,3.0,6.0,35
UGC02953,0.0012499999999999996,,0.251188643150958,65797.18831795169,3.180282674908107,True,179.1814615467771,3.0,6.0,81
UGC03205,0.0012499999999999996,,0.3311311214825911,36524.79136558806,0.7881671222061492,True,-74.3746530306529,2.0,6.0,43
UGC03546,0.0012499999999999996,,0.2754228703338167,29727.67960330378,1.4549628258424758,True,13.289759946727358,3.0,3.0,17
UGC03580,0.0012499999999999996,,0.2630267991895382,10235.632068317667,4.390386244323398,True,85.16008168832775,3.0,6.0,21
UGC04278,0.0012499999999999996,,1.0471285480508996,3825.1834055090276,2.6000395769441096,True,26.566322810472997,3.0,6.0,14
UGC04305,0.0012499999999999996,,0.6025595860743578,0.0,0.2772100762303035,True,0.0,3.0,3.0,11
UGC04325,0.0012499999999999996,,1.0,5313.427614232416,0.12022439459711262,True,0.44226784807463915,3.0,3.0,4
